행정구역명,학원명,교습계열명,도로명주소,구분,과목명,성적구분,학원규모,주말반
거제시,공부와책독서&학습거제상동점학원,국어,경상남도 거제시 상동5길 117-50,수능,국어,중위권,대형학원,토요일반
거제시,공터영어학원,영어,경상남도 거제시 양정2길 55,내신,영어,하위권,중형학원,일요일반
거제시,관악왕수학교실학원,수학,경상남도 거제시 수양로 436,내신,수학,중위권,중형학원,일요일반
거제시,그루스터디아주센터독서실,독서실,경상남도 거제시 아주로 49,수능,독서실,중위권,중형학원,토요일반
거제시,그릿영어학원,영어,경상남도 거제시 수양로 440-2,수능,영어,중위권,대형학원,토요일반
거제시,글길국어논술학원,국어,경상남도 거제시 수양로 442,내신,국어,중위권,중형학원,일요일반
거제시,김샘과학교습소,과학,경상남도 거제시 수양로 456,내신,과학,중위권,중형학원,일요일반
거제시,남경수학학원,수학,경상남도 거제시 능포로 108,수능,수학,하위권,중형학원,일요일반
거제시,뉴스터디수학전문학원,수학,경상남도 거제시 수양로 430,내신,수학,중위권,소형학원,토요일반
거제시,능포해법수학학원,수학,경상남도 거제시 능포로2길 35,내신,수학,중위권,중형학원,일요일반
거제시,다비수오창영논술수학학원,국어,경상남도 거제시 상동5길 117-50,내신,국어,하위권,소형학원,토요일반
거제시,다숲뮤엠영어학원,영어,경상남도 거제시 상동7길 30-1,내신,영어,중위권,중형학원,일요일반
거제시,대동수학학원,수학,경상남도 거제시 상동7길 30-1,내신,수학,중위권,중형학원,일요일반
거제시,대명영어전문학원,영어,경상남도 거제시 옥포로 263,내신,영어,상위권,소형학원,일요일반
거제시,더 베스트 중고등 영수학원,영어/수학,경상남도 거제시 수양로 450,수능,"영어,수학",하위권,중형학원,일요일반
거제시,더스테이장평독서실,독서실,경상남도 거제시 장평1로7길 31,수능,독서실,중위권,중형학원,일요일반
거제시,더-원영어수학학원,영어/수학,경상남도 거제시 장평4로 65,수능,"영어,수학",중위권,소형학원,일요일반
거제시,더클랩영수학원,영어/수학,경상남도 거제시 중곡2로 89-1,내신,"영어,수학",중위권,소형학원,토요일반
거제시,더플레이스(ThePlace)독서실,독서실,경상남도 거제시 옥포중앙로 46,내신,독서실,중위권,대형학원,토요일반
거제시,더플레이스장승포독서실,독서실,경상남도 거제시 능포로 115,내신,독서실,상위권,소형학원,토요일반
거제시,더플레이스중곡독서실,독서실,경상남도 거제시 중곡로5길 16,내신,독서실,중위권,대형학원,토요일반
거제시,로뎀나무영수학원,영어/수학,경상남도 거제시 수양로 449,수능,"영어,수학",상위권,대형학원,토요일반
거제시,로제타스톤영어교실영어교습소,영어,경상남도 거제시 중곡로 40,수능,영어,하위권,대형학원,일요일반
거제시,루트수학과학학원,수학,경상남도 거제시 옥포로 260,내신,수학,중위권,중형학원,일요일반
거제시,리드앤톡영어독서중곡어학원,영어,경상남도 거제시 중곡로 40,내신,영어,중위권,대형학원,토요일반
거제시,리드앤톡영어독서학원,국어,경상남도 거제시 수양로 428,내신,국어,상위권,중형학원,일요일반
거제시,매스엔수학영어학원,영어/수학,경상남도 거제시 수양로 454-4,수능,"영어,수학",상위권,중형학원,일요일반
거제시,매스피아(Mathpia)수학학원,수학,경상남도 거제시 아주2로 45,수능,수학,상위권,소형학원,토요일반
거제시,메르센수학학원,수학,경상남도 거제시 제산로3길 18,내신,수학,중위권,대형학원,토요일반
거제시,메르센영수학원,영어/수학,경상남도 거제시 아주1로2길 50,수능,"영어,수학",상위권,소형학원,토요일반
거제시,메이트수학학원,수학,경상남도 거제시 중곡로 45,내신,수학,중위권,대형학원,일요일반
거제시,메타영수학원,영어/수학,경상남도 거제시 능포로5길 5,내신,"영어,수학",중위권,소형학원,토요일반
거제시,명(明)수학교습소,수학,경상남도 거제시 중곡로 40,내신,수학,하위권,중형학원,일요일반
거제시,뮤엠영어경남아너스빌점영어교습소,영어,경상남도 거제시 사등면 두동로 30,내신,영어,상위권,대형학원,일요일반
거제시,뮤엠영어교습소,영어,경상남도 거제시 상동5길 117-40,내신,영어,중위권,중형학원,일요일반
거제시,뮤엠영어학원,영어,경상남도 거제시 수양로 486,내신,영어,중위권,대형학원,일요일반
거제시,바른국어바른수학학원,수학,경상남도 거제시 옥포대첩로7길 43,내신,수학,상위권,중형학원,일요일반
거제시,박봄수학영어학원,영어/수학,경상남도 거제시 아주로 49,수능,"영어,수학",중위권,중형학원,일요일반
거제시,박선생창의역사교실사회교습소,사회,경상남도 거제시 상동7길 30-1,내신,사회,중위권,대형학원,일요일반
거제시,벼리영어국어학원,영어,경상남도 거제시 수양로 421,수능,영어,중위권,중형학원,일요일반
거제시,보충수업수학교습소,수학,경상남도 거제시 국산6길 23,수능,수학,중위권,대형학원,일요일반
거제시,봉선생수학전문학원,수학,경상남도 거제시 장평3로3길 3,내신,수학,상위권,중형학원,토요일반
거제시,분석수학학원,수학,경상남도 거제시 거제중앙로 1537,내신,수학,상위권,소형학원,일요일반
거제시,비타잉글리쉬영어ㆍ수학전문학원,영어/수학,경상남도 거제시 능포로2길 38,수능,"영어,수학",상위권,대형학원,일요일반
거제시,빨간펜수학의달인아주학원,수학,경상남도 거제시 탑곡로2길 15,내신,수학,상위권,중형학원,토요일반
거제시,삼성영어e해법수학상문학원,영어/수학,경상남도 거제시 거제중앙로 1537,내신,"영어,수학",상위권,중형학원,일요일반
거제시,삼성영어e해법수학아주학원,영어/수학,경상남도 거제시 아주2로 111-1,수능,"영어,수학",중위권,소형학원,토요일반
거제시,삼성영어교습소,영어,경상남도 거제시 중곡로 40,수능,영어,하위권,대형학원,토요일반
거제시,상동e해법수학교습소,수학,경상남도 거제시 상동5길 117-40,내신,수학,중위권,대형학원,일요일반
거제시,상동삼성영어교습소,영어,경상남도 거제시 상동5길 117-40,내신,영어,중위권,중형학원,토요일반
거제시,상상수학교습소,수학,경상남도 거제시 중곡로 40,내신,수학,상위권,소형학원,토요일반
거제시,샘스타운영어교습소,영어,경상남도 거제시 문동1길 42,수능,영어,중위권,중형학원,일요일반
거제시,생각나무수학학원,수학,경상남도 거제시 계룡로2길 8-1,수능,수학,하위권,중형학원,토요일반
거제시,생각날기통합논술교습소,국어,경상남도 거제시 진목로 19,내신,국어,상위권,중형학원,토요일반
거제시,생각하는수학논술학원,국어,경상남도 거제시 사등면 두동로 30,수능,국어,중위권,소형학원,일요일반
거제시,셀파우등생수학교습소,수학,경상남도 거제시 상동5길 100,수능,수학,하위권,대형학원,일요일반
거제시,솔루션수학학원,수학,경상남도 거제시 아주로 73,내신,수학,상위권,소형학원,일요일반
거제시,수앤과 수학과학 전문학원,수학,경상남도 거제시 수양로 454-8,내신,수학,중위권,대형학원,토요일반
거제시,수예쌤e-해법수학교습소,수학,경상남도 거제시 아주2로2길 13-1,내신,수학,상위권,소형학원,일요일반
거제시,수월독서실,독서실,경상남도 거제시 수양로 471,내신,독서실,상위권,중형학원,일요일반
거제시,스마트해법수학교습소,수학,경상남도 거제시 상동7길 30-1,수능,수학,상위권,대형학원,토요일반
거제시,스칼렛잉글리쉬영어교습소,영어,경상남도 거제시 성산로3길 19,내신,영어,중위권,중형학원,토요일반
거제시,스퀘어수학전문학원,수학,경상남도 거제시 수양로 454-3,내신,수학,하위권,중형학원,일요일반
거제시,시퀀스영수학원,영어/수학,경상남도 거제시 제산로 2-5,수능,"영어,수학",중위권,소형학원,토요일반
거제시,申(신)수학학원,수학,경상남도 거제시 능포로2길 35,내신,수학,상위권,중형학원,토요일반
거제시,신수학교습소,수학,경상남도 거제시 국산4길 11-2,수능,수학,하위권,대형학원,토요일반
거제시,신정독서실,독서실,경상남도 거제시 장평1로1길 24-11,내신,독서실,중위권,중형학원,일요일반
거제시,싱싱영어교습소,영어,경상남도 거제시 옥수로10길 31-1,내신,영어,중위권,대형학원,토요일반
거제시,쎈수학러닝센터상동캠퍼스학원,수학,경상남도 거제시 상동7길 30-1,내신,수학,중위권,중형학원,토요일반
거제시,쎈수학러닝센터수월학원,수학,경상남도 거제시 수양로 452,내신,수학,하위권,중형학원,일요일반
거제시,아이러브지지이(ILOVEGGE)영수전문학원,영어/수학,경상남도 거제시 중곡1로 90-3,수능,"영어,수학",중위권,대형학원,일요일반
거제시,아주뮤엠영수학원,영어/수학,경상남도 거제시 아주2로 137,수능,"영어,수학",상위권,대형학원,토요일반
거제시,아주해법영어교실학원,영어,경상남도 거제시 아주로 73,수능,영어,중위권,대형학원,토요일반
거제시,아쿰수학학원,수학,경상남도 거제시 수양로 433,내신,수학,하위권,중형학원,토요일반
거제시,알앤디수학학원,수학,경상남도 거제시 거제중앙로 1649,내신,수학,중위권,중형학원,토요일반
거제시,알파수학학원,수학,경상남도 거제시 옥포로 243,수능,수학,상위권,소형학원,일요일반
거제시,애플주니어국어교습소,국어,경상남도 거제시 고현로4길 54,내신,국어,중위권,중형학원,일요일반
거제시,어쎔블스테이독서실,독서실,경상남도 거제시 중곡로 35,내신,독서실,상위권,중형학원,토요일반
거제시,업그레이드국어논술학원,국어,경상남도 거제시 능포로2길 38,내신,국어,하위권,중형학원,일요일반
거제시,엘리트수학과학전문학원,수학,경상남도 거제시 아주1로 56,수능,수학,상위권,중형학원,토요일반
거제시,엘리트해법영수학원,영어/수학,경상남도 거제시 사등면 두동로 54-40,수능,"영어,수학",중위권,중형학원,일요일반
거제시,여빈학당영어교습소,영어,경상남도 거제시 아주1로1길 44,내신,영어,중위권,대형학원,일요일반
거제시,옥스포드영수전문학원,영어/수학,경상남도 거제시 중곡로5길 9,수능,"영어,수학",중위권,소형학원,토요일반
거제시,옥포이편한점e해법수학교습소,수학,경상남도 거제시 성산로 33,내신,수학,하위권,소형학원,토요일반
거제시,옥포파스칼수학전문학원,수학,경상남도 거제시 옥포로 255,내신,수학,중위권,중형학원,일요일반
거제시,용소삼성영어교습소,영어,경상남도 거제시 용소1길 17-17,내신,영어,중위권,중형학원,일요일반
거제시,우리마을수학교습소,수학,경상남도 거제시 성산로 169,내신,수학,중위권,소형학원,토요일반
거제시,위즈덤영어수학학원,영어/수학,경상남도 거제시 아주1로 66,수능,"영어,수학",상위권,소형학원,일요일반
거제시,위즈클래스수학교습소,수학,경상남도 거제시 중곡로 40,내신,수학,상위권,중형학원,일요일반
거제시,윤선생영어숲거제서정학원,영어,경상남도 거제시 거제면 기성로 9,내신,영어,상위권,중형학원,일요일반
거제시,윤선생우리집앞영어상동영어교습소,영어,경상남도 거제시 상동5길 117-40,수능,영어,상위권,중형학원,토요일반
거제시,윤선생우리집앞영어양정아이파크영어교습소,영어,경상남도 거제시 양정5길 36,내신,영어,상위권,중형학원,일요일반
거제시,윤수학교습소,수학,경상남도 거제시 능포로5길 23,내신,수학,하위권,중형학원,일요일반
거제시,이루다수학학원,수학,경상남도 거제시 아주1로 62,내신,수학,하위권,소형학원,토요일반
거제시,이샘영어교습소,영어,경상남도 거제시 아주로 69,내신,영어,하위권,중형학원,토요일반
거제시,이제마체질독서실,독서실,경상남도 거제시 거제중앙로1길 16-11,수능,독서실,중위권,중형학원,일요일반
거제시,이지영어수학학원,영어/수학,경상남도 거제시 국산6길 29,내신,"영어,수학",중위권,대형학원,일요일반
거제시,이화영어학원,영어,경상남도 거제시 아주로 43-8,내신,영어,중위권,대형학원,일요일반
거제시,이황독서실,독서실,경상남도 거제시 아주1로2길 65,수능,독서실,중위권,중형학원,일요일반
거제시,잉글리쉬코치(ENGLISH COACH)어학원,영어,경상남도 거제시 수양로 447-10,수능,영어,하위권,소형학원,일요일반
거제시,잉글리쉬허브영어교습소,영어,경상남도 거제시 장평3로3길 41,내신,영어,하위권,대형학원,토요일반
거제시,장원놀이수학학원,수학,경상남도 거제시 상동1길 39-1,내신,수학,중위권,대형학원,토요일반
거제시,재미있는영어잼영학원,영어,경상남도 거제시 장평2로 19,수능,영어,중위권,대형학원,일요일반
거제시,정진수학교습소,수학,경상남도 거제시 수양로 448-5,내신,수학,중위권,대형학원,일요일반
거제시,제이영어학원,영어,경상남도 거제시 거제중앙로 1814,내신,영어,중위권,중형학원,토요일반
거제시,조쌤의공감수학교습소,수학,경상남도 거제시 상동1길 18,내신,수학,중위권,대형학원,토요일반
거제시,주원영어전문학원,영어,경상남도 거제시 능포로5길 23,내신,영어,하위권,소형학원,일요일반
거제시,지원(G1)영수학원,영어/수학,경상남도 거제시 수양로 434,수능,"영어,수학",중위권,중형학원,토요일반
거제시,짐앤지니어스상동영어학원,영어,경상남도 거제시 상동5길 84,내신,영어,중위권,중형학원,토요일반
거제시,차오르영어교습소,영어,경상남도 거제시 신부로 42-16,내신,영어,중위권,소형학원,일요일반
거제시,청파해법영수학원,영어/수학,경상남도 거제시 장평4로 64,수능,"영어,수학",상위권,중형학원,일요일반
거제시,클라쎄아뜰리에(Classe Atelier)영어학원,영어,경상남도 거제시 제산로3길 6,내신,영어,하위권,대형학원,일요일반
거제시,타임영어교습소,영어,경상남도 거제시 수양로 440-8,내신,영어,상위권,중형학원,토요일반
거제시,테바수학교습소,수학,경상남도 거제시 옥포중앙로 87,내신,수학,중위권,중형학원,일요일반
거제시,토킹스타거제영어학원,영어,경상남도 거제시 상동5길 75-40,내신,영어,중위권,중형학원,일요일반
거제시,통문장영어&수학학원,영어/수학,경상남도 거제시 동문천로 33,내신,"영어,수학",상위권,대형학원,일요일반
거제시,튼튼영어거제옥포마스터클럽학원,영어,경상남도 거제시 옥포중앙로 66,내신,영어,중위권,대형학원,토요일반
거제시,파란영어교습소,영어,경상남도 거제시 능포로 108,내신,영어,상위권,대형학원,일요일반
거제시,퍼펙트영어교습소,영어,경상남도 거제시 장승포1로 36,수능,영어,하위권,대형학원,토요일반
거제시,펜토수학교습소,수학,경상남도 거제시 진목1길 95,수능,수학,하위권,중형학원,토요일반
거제시,프라임수학학원,수학,경상남도 거제시 중곡2로6길 18,내신,수학,중위권,대형학원,토요일반
거제시,프라임영어학원,영어,경상남도 거제시 아주1로2길 49,내신,영어,중위권,중형학원,일요일반
거제시,프롬수학학원,수학,경상남도 거제시 수양로 505,내신,수학,상위권,소형학원,일요일반
거제시,필즈왕수학교실학원,수학,경상남도 거제시 아주2로 138,내신,수학,중위권,소형학원,일요일반
거제시,하바놀이영어(HABAEPS)학원,영어,경상남도 거제시 중곡2로4길 7-2,수능,영어,중위권,소형학원,일요일반
거제시,하브루타수학학원,수학,경상남도 거제시 상동5길 117-40,내신,수학,하위권,중형학원,토요일반
거제시,하우스터디거제수월센터독서실,독서실,경상남도 거제시 수양로 448-21,수능,독서실,하위권,소형학원,일요일반
거제시,한솔플러스영어수학중곡학원,영어/수학,경상남도 거제시 중곡로 13,내신,"영어,수학",하위권,대형학원,토요일반
거제시,한우리독서논술교습소,국어,경상남도 거제시 중곡로 42,내신,국어,상위권,중형학원,토요일반
거제시,한우리독서토론논술교습소,국어,경상남도 거제시 아주2로 115,수능,국어,하위권,대형학원,토요일반
거제시,한우리상동독서토론논술교습소,국어,경상남도 거제시 상동7길 30,내신,국어,중위권,중형학원,일요일반
거제시,해법수학교실교습소,수학,경상남도 거제시 옥포로25길 1,수능,수학,하위권,소형학원,토요일반
거제시,해법영수덕산학원,영어/수학,경상남도 거제시 옥포로 315,수능,"영어,수학",중위권,중형학원,토요일반
거제시,해법영수학원,영어/수학,경상남도 거제시 중곡로 35,내신,"영어,수학",중위권,대형학원,일요일반
거제시,해법영어교실옥포해법영어교습소,영어,경상남도 거제시 옥포로17길 18,내신,영어,상위권,중형학원,일요일반
거제시,해법영어옥포이편한영어교습소,영어,경상남도 거제시 성산로 16,수능,영어,중위권,소형학원,일요일반
거제시,해법영어학원,영어,경상남도 거제시 거제중앙로 1509-22,수능,영어,상위권,중형학원,토요일반
거제시,홍T수학교습소,수학,경상남도 거제시 문동1길 42,수능,수학,중위권,중형학원,토요일반
거창군,3030영어대동러닝센터영어교습소,영어,경상남도 거창군 거창읍 강양1길 8-12,내신,영어,중위권,중형학원,일요일반
거창군,E4U영수전문학원,영어/수학,경상남도 거창군 거창읍 상동2길 55,내신,"영어,수학",중위권,중형학원,토요일반
거창군,거창독서실,독서실,경상남도 거창군 거창읍 창남4길 17,내신,독서실,중위권,중형학원,일요일반
거창군,거창페르마수학학원,수학,경상남도 거창군 거창읍 거창대로1길 21,내신,수학,상위권,중형학원,일요일반
거창군,국어사랑국어교습소,국어,경상남도 거창군 거창읍 상동2길 46,내신,국어,상위권,중형학원,토요일반
거창군,글로읽고자리하다독서실,독서실,경상남도 거창군 거창읍 거열로1길 100-24,수능,독서실,상위권,대형학원,토요일반
거창군,글자독서실,독서실,경상남도 거창군 거창읍 거열로1길 100-24,내신,독서실,상위권,중형학원,토요일반
거창군,김선생독서실,독서실,경상남도 거창군 거창읍 거열로1길 78-4,내신,독서실,중위권,중형학원,일요일반
거창군,꿀잼영어학원,영어,경상남도 거창군 거창읍 거열로5길 10-9,내신,영어,상위권,소형학원,토요일반
거창군,노개명수학학원,수학,경상남도 거창군 거창읍 상동길 50-22,내신,수학,중위권,중형학원,일요일반
거창군,다해냄영어교습소,영어,경상남도 거창군 거창읍 창동로 136,내신,영어,중위권,소형학원,토요일반
거창군,더원수학교습소,수학,경상남도 거창군 거창읍 상동7길 47-4,내신,수학,상위권,대형학원,일요일반
거창군,레마영어수학학원,영어/수학,경상남도 거창군 거창읍 하동5길 3,내신,"영어,수학",하위권,소형학원,토요일반
거창군,림스영어학원,영어,경상남도 거창군 거창읍 상동길 50-26,수능,영어,중위권,중형학원,토요일반
거창군,마스터영어교습소,영어,경상남도 거창군 거창읍 거열로5길 16-15,내신,영어,상위권,소형학원,토요일반
거창군,맘스영스토리논술교습소,국어,경상남도 거창군 거창읍 창동로 140,수능,국어,중위권,대형학원,일요일반
거창군,메이플영어교습소,영어,경상남도 거창군 거창읍 공수들8길 83-1,내신,영어,중위권,소형학원,일요일반
거창군,멘사수학학원,수학,경상남도 거창군 거창읍 상동7길 9-14,수능,수학,중위권,소형학원,일요일반
거창군,문선생공감영어학원,영어,경상남도 거창군 거창읍 상동7길 47-12,수능,영어,상위권,중형학원,토요일반
거창군,박찬성수학교습소,수학,경상남도 거창군 거창읍 상동7길 47-8,내신,수학,상위권,대형학원,토요일반
거창군,별수학학원,수학,경상남도 거창군 거창읍 상동7길 9-10,수능,수학,하위권,대형학원,토요일반
거창군,브레이닝수학교습소,수학,경상남도 거창군 거창읍 상동7길 15-7,내신,수학,중위권,대형학원,일요일반
거창군,브릭스영어교습소,영어,경상남도 거창군 거창읍 상동1길 45,내신,영어,중위권,중형학원,토요일반
거창군,빕스영어수학학원,영어/수학,경상남도 거창군 거창읍 거열로1길 18,내신,"영어,수학",중위권,중형학원,토요일반
거창군,삼성영어쎈수학러닝센터거창드림학원,영어/수학,경상남도 거창군 거창읍 상동7길 17,내신,"영어,수학",상위권,중형학원,일요일반
거창군,상동스터디센터독서실,독서실,경상남도 거창군 거창읍 거열로 84,내신,독서실,하위권,소형학원,일요일반
거창군,설대수학교습소,수학,경상남도 거창군 거창읍 상동7길 51-22,수능,수학,상위권,중형학원,일요일반
거창군,성문독서실,독서실,경상남도 거창군 거창읍 아림로 67,내신,독서실,중위권,중형학원,토요일반
거창군,소나무공부방수학교습소,수학,경상남도 거창군 거창읍 창동로 140,내신,수학,상위권,대형학원,토요일반
거창군,솔로몬국어교습소,국어,경상남도 거창군 거창읍 창동로 140,내신,국어,하위권,중형학원,일요일반
거창군,스터디카페독서실,독서실,경상남도 거창군 거창읍 거열로 190-1,수능,독서실,중위권,중형학원,토요일반
거창군,스펀지과외수학교습소,수학,경상남도 거창군 거창읍 아림로 60,내신,수학,중위권,소형학원,토요일반
거창군,아이림수학교습소,수학,경상남도 거창군 거창읍 거열로5길 8-19,내신,수학,중위권,소형학원,토요일반
거창군,에이블수학학원,수학,경상남도 거창군 거창읍 상동7길 15-14,내신,수학,중위권,소형학원,일요일반
거창군,오수학학원,수학,경상남도 거창군 거창읍 아림로2길 27,내신,수학,중위권,중형학원,토요일반
거창군,외대영어수학발전소학원,영어/수학,경상남도 거창군 거창읍 상동5길 13,내신,"영어,수학",중위권,중형학원,일요일반
거창군,우리아이수학교습소,수학,경상남도 거창군 거창읍 거열로5길 16-11,내신,수학,중위권,중형학원,토요일반
거창군,원리수학학원,수학,경상남도 거창군 거창읍 상동길 50,내신,수학,중위권,대형학원,토요일반
거창군,유캔수학교습소,수학,경상남도 거창군 거창읍 거열로6길 52,내신,수학,상위권,중형학원,일요일반
거창군,으뜸독서실,독서실,경상남도 거창군 거창읍 강변로8길 11,수능,독서실,중위권,중형학원,일요일반
거창군,이온수학교습소,수학,경상남도 거창군 거창읍 죽전길 16,내신,수학,중위권,소형학원,토요일반
거창군,제이티(JT)수학교습소,수학,경상남도 거창군 거창읍 상동7길 47-5,내신,수학,중위권,중형학원,토요일반
거창군,종준쌤영어&공터영어학원,영어,경상남도 거창군 거창읍 공수들4길 41,내신,영어,하위권,중형학원,일요일반
거창군,채움수학학원,수학,경상남도 거창군 거창읍 거열로6길 56-7,내신,수학,상위권,중형학원,일요일반
거창군,초이스영어교습소,영어,경상남도 거창군 거창읍 상동1길 45,내신,영어,상위권,대형학원,토요일반
거창군,최강영수학원,영어/수학,경상남도 거창군 거창읍 상동7길 68-1,내신,"영어,수학",중위권,대형학원,토요일반
거창군,태명수학교습소,수학,경상남도 거창군 거창읍 송정2길 33,수능,수학,상위권,중형학원,일요일반
거창군,테즈영어아림학원,영어,경상남도 거창군 거창읍 거열로 106,수능,영어,중위권,소형학원,토요일반
거창군,테즈영어학원,영어,경상남도 거창군 거창읍 아림로3길 6,수능,영어,하위권,중형학원,토요일반
거창군,틴플러스수학교습소,수학,경상남도 거창군 거창읍 상동2길 25-8,수능,수학,중위권,대형학원,토요일반
거창군,퍼스트수학학원,수학,경상남도 거창군 거창읍 거열로 98,내신,수학,중위권,중형학원,토요일반
거창군,프라임영어교습소,영어,경상남도 거창군 거창읍 상동7길 47-16,수능,영어,하위권,대형학원,일요일반
거창군,플러스수학교습소,수학,경상남도 거창군 거창읍 강남로 266,내신,수학,상위권,소형학원,토요일반
거창군,픽스영어교습소,영어,경상남도 거창군 거창읍 상동6길 23,수능,영어,중위권,대형학원,토요일반
거창군,학예원수학교습소,수학,경상남도 거창군 거창읍 동동3길 44,수능,수학,중위권,대형학원,일요일반
거창군,한솔플러스수학학원,수학,경상남도 거창군 거창읍 거열로5길 16-9,내신,수학,하위권,대형학원,일요일반
거창군,한솔플러스영어교습소,영어,경상남도 거창군 거창읍 강남로 266,수능,영어,중위권,대형학원,토요일반
거창군,한양1인독서실,독서실,경상남도 거창군 거창읍 거열로7길 25,내신,독서실,상위권,중형학원,일요일반
거창군,한우리거창독서논술국어학원,국어,경상남도 거창군 거창읍 거열로6길 56-14,수능,국어,하위권,중형학원,일요일반
고성군,SKY비젼영어학원,영어,경상남도 고성군 고성읍 중앙로 25번길,내신,영어,상위권,대형학원,일요일반
고성군,가우스수학교습소,수학,경상남도 고성군 고성읍 성내로 56,수능,수학,하위권,대형학원,일요일반
고성군,공은정국어교습소,국어,경상남도 고성군 고성읍 동외로151번길 45,내신,국어,상위권,소형학원,일요일반
고성군,과수원과학수학전문학원,수학,경상남도 고성군 고성읍 동외로151번길 57,내신,수학,중위권,중형학원,토요일반
고성군,대성e해법수학교습소,수학,경상남도 고성군 고성읍 동외로151번길 57,수능,수학,하위권,중형학원,토요일반
고성군,대신종합GGE초등영어전문학원,영어,경상남도 고성군 고성읍 동외로 218,내신,영어,상위권,대형학원,토요일반
고성군,더큰왕수학뮤엠영어학원,영어/수학,경상남도 고성군 고성읍 성내로76번길 5-5,수능,"영어,수학",상위권,소형학원,토요일반
고성군,라온수학교습소,수학,경상남도 고성군 고성읍 송학로 127,내신,수학,중위권,중형학원,일요일반
고성군,리버티영어교습소,영어,경상남도 고성군 고성읍 성내로 51-2,내신,영어,중위권,중형학원,토요일반
고성군,리안영어교습소,영어,경상남도 고성군 고성읍 동외로151번길 40,내신,영어,상위권,대형학원,일요일반
고성군,링컨영어전문학원,영어,경상남도 고성군 고성읍 성내로 101,내신,영어,상위권,대형학원,토요일반
고성군,미동수학교습소,수학,경상남도 고성군 고성읍 성내로 115,내신,수학,하위권,중형학원,일요일반
고성군,빛돌영어교습소,영어,경상남도 고성군 고성읍 성내로135번길 19,내신,영어,상위권,중형학원,토요일반
고성군,숨독서실,독서실,경상남도 고성군 고성읍 동외로156번길 13,내신,독서실,중위권,소형학원,토요일반
